ComponentIndex	DeviceType	DeviceIndex	PartIndex	PowerBusIndex	NominalCurrent	NominalVoltage	ActualCurrent	ActualVoltage	Temperature	OnOff
0	11	0	0	21	0	40	0	0	0	0
1	11	1	1	21	0	40	0	0	0	0
2	11	2	3	21	0	40	0	0	0	0
3	11	3	4	21	0	40	0	0	0	0
4	11	4	6	21	0	40	0	0	0	0
5	11	5	7	21	0	40	0	0	0	0
6	11	6	9	21	0	40	0	0	0	0
7	11	7	10	21	0	40	0	0	0	0
8	11	8	12	21	0	40	0	0	0	0
9	11	9	13	21	0	40	0	0	0	0
10	11	10	15	21	0	40	0	0	0	0
11	11	11	16	21	0	40	0	0	0	0
12	11	12	18	21	0	40	0	0	0	0
13	11	13	19	21	0	40	0	0	0	0
14	11	14	21	21	0	40	0	0	0	0
15	11	15	22	21	0	40	0	0	0	0
16	11	16	27	21	0	40	0	0	0	0
17	11	17	28	21	0	40	0	0	0	0
18	0	0	29	1	0.892857142857143	28	0	0	0	0
19	0	1	31	2	0.316666666666667	12	0	0	0	0
20	0	2	33	3	0.316666666666667	12	0	0	0	0
21	0	0	35	0	0.892857142857143	28	0	0	0	0
22	5	0	37	3	1.5	5	0	0	0	0
23	5	1	39	20	0.15	5	0	0	0	0
24	5	2	41	11	0.04	28	0	0	0	0
25	4	0	43	11	0	5	0	0	0	0
26	4	1	44	11	0	5	0	0	0	0
27	4	2	45	11	0	5	0	0	0	0
28	2	0	46	12	0	5	0	0	0	0
29	2	1	48	13	0	5	0	0	0	0
30	6	0	50	14	0.36	3.3	0	0	0	0
31	6	1	52	14	0.36	3.3	0	0	0	0
32	3	0	54	16	0	5	0	0	0	0
33	12	0	56	22	0	25.2	0	0	0	0
34	12	1	58	22	0	25.2	0	0	0	0
35	1	0	60	23	0	0	0	0	0	0
36	1	1	62	23	0	0	0	0	0	0
37	1	2	64	23	0	0	0	0	0	0
