Educational Use Only

Time (ModJDate)        x (m)           y (m)           z (m)        vx (m/sec)      vy (m/sec)      vz (m/sec)     ax (m/sec^2)    ay (m/sec^2)    az (m/sec^2)
---------------    ------------    ------------    ------------    ------------    ------------    ------------    ------------    ------------    ------------
 53736.50000000     6561000.000           0.000           0.000        0.000000     7079.634603     4087.428944       -9.273786        0.000013       -0.000016
 53736.50011574     6560536.318       70794.679       40873.323      -92.735023     7079.134412     4087.139030       -9.272935       -0.100049       -0.057965
 53736.50023148     6559145.356      141579.353       81740.849     -185.453017     7077.633710     4086.269695       -9.270380       -0.200085       -0.115898
 53736.50034722     6556827.371      212344.019      122596.786     -278.136957     7075.132900     4084.821175       -9.266124       -0.300066       -0.173800
 53736.50046296     6553582.787      283078.680      163435.343     -370.769833     7071.632653     4082.793857       -9.260168       -0.399968       -0.231655
 53736.50057870     6549412.201      353773.344      204250.736     -463.334657     7067.133907     4080.188287       -9.252514       -0.499762       -0.289448
 53736.50069444     6544316.378      424418.033      245037.184     -555.814469     7061.637867     4077.005165       -9.243166       -0.599422       -0.347163
 53736.50081019     6538296.252      495002.782      285788.917     -648.192345     7055.146005     4073.245345       -9.232128       -0.698922       -0.404785
 53736.50092593     6531352.927      565517.640      326500.172     -740.451403     7047.660058     4068.909836       -9.219403       -0.798234       -0.462298
 53736.50104167     6523487.676      635952.676      367165.198     -832.574811     7039.182027     4063.999799       -9.204999       -0.897334       -0.519687
 53736.50115741     6514701.939      706297.981      407778.257     -924.545795     7029.714176     4058.516550       -9.188919       -0.996194       -0.576938
 53736.50127315     6504997.324      776543.669      448333.623    -1016.347641     7019.259031     4052.461555       -9.171172       -1.094788       -0.634034
 53736.50138889     6494375.605      846679.880      488825.588    -1107.963708     7007.819378     4045.836432       -9.151765       -1.193091       -0.690961
 53736.50150463     6482838.724      916696.785      529248.457    -1199.377433     6995.398259     4038.642946       -9.130705       -1.291077       -0.747704
 53736.50162037     6470388.786      986584.585      569596.558    -1290.572333     6981.998975     4030.883015       -9.108002       -1.388720       -0.804248
 53736.50173611     6457028.061     1056333.515      609864.236    -1381.532020     6967.625080     4022.558701       -9.083664       -1.485995       -0.860578
