MJD;Year;Month;Day;Type;x_pole;sigma_x_pole;y_pole;sigma_y_pole;Type;UT1-UTC;sigma_UT1-UTC;LOD;sigma_LOD;Type;dPsi;sigma_dPsi;dEpsilon;sigma_dEpsilon;dX;sigma_dX;dY;sigma_dY
58301;2018;7;2;final;164.852;0.056;428.652;0.039;final;71.2642;0.0199;-0.5769;0.0113;final;-108.389;0.151;-11.848;0.069;-0.080;0.060;-0.025;0.069
58302;2018;7;3;final;166.885;0.053;427.192;0.038;final;71.6534;0.0212;-0.4792;0.0112;final;-108.498;0.148;-11.843;0.070;-0.062;0.059;-0.020;0.070
58303;2018;7;4;final;169.493;0.052;425.894;0.038;final;71.9558;0.0192;-0.3125;0.0117;final;-108.419;0.148;-11.773;0.071;-0.051;0.059;-0.021;0.071
58304;2018;7;5;final;172.372;0.055;425.368;0.039;final;72.1690;0.0163;-0.1618;0.0119;final;-108.374;0.148;-11.635;0.073;-0.042;0.059;-0.022;0.073
58305;2018;7;6;final;174.544;0.054;425.409;0.038;final;72.2937;0.0134;-0.0079;0.0121;final;-108.719;0.151;-11.551;0.075;-0.033;0.060;-0.024;0.075
58306;2018;7;7;final;176.281;0.055;425.151;0.038;final;72.3928;0.0189;0.0967;0.0124;final;-109.499;0.148;-11.576;0.073;-0.037;0.059;-0.013;0.073
58307;2018;7;8;final;177.822;0.058;425.068;0.039;final;72.2879;0.0230;0.1420;0.0118;final;-110.260;0.146;-11.624;0.070;-0.046;0.058;0.003;0.070
58308;2018;7;9;final;178.757;0.058;424.807;0.039;final;72.1294;0.0270;0.1328;0.0110;final;-110.636;0.143;-11.573;0.067;-0.055;0.057;0.018;0.067
58309;2018;7;10;final;179.172;0.051;423.852;0.034;final;71.9740;0.0209;0.1034;0.0109;final;-110.752;0.141;-11.471;0.063;-0.064;0.056;0.034;0.063
58310;2018;7;11;final;180.186;0.049;422.669;0.034;final;71.8248;0.0157;0.0650;0.0106;final;-110.916;0.138;-11.491;0.060;-0.074;0.055;0.049;0.060
